instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution;wmax
p1.2.a;2.5;32;2;0.0;0.001;0
p1.2.b;5.0;32;2;15.0;0.001;1
p1.2.c;7.5;32;2;20.0;0.002;1
p1.2.d;10.0;32;2;30.0;0.013;2
p1.2.e;12.5;32;2;40.0;0.1008;3
p1.2.f;15.0;32;2;70.0;0.3115;4
p1.2.g;17.5;32;2;85.0;0.9655;3
p1.2.h;20.0;32;2;110.0;1.5382;7
p1.2.i;23.0;32;2;110.0;3.0039;1
p1.2.j;25.0;32;2;140.0;5.5137;8
p1.2.k;27.5;32;2;160.0;6.6445;7
p1.2.l;30.0;32;2;180.0;7.9953;3
p1.2.m;32.5;32;2;180.0;10.2406;2
p1.2.n;35.0;32;2;220.0;12.0809;6
p1.2.o;36.5;32;2;230.0;12.8319;4
p1.2.p;37.5;32;2;230.0;13.6089;8
p1.2.q;40.0;32;2;235.0;14.6916;3
p1.2.r;42.5;32;2;235.0;18.8384;3
p1.3.a;1.7;32;3;0.0;0.0;0
p1.3.b;3.3;32;3;0.0;0.001;0
p1.3.c;5.0;32;3;15.0;0.001;1
p1.3.d;6.7;32;3;15.0;0.0;1
p1.3.e;8.3;32;3;30.0;0.024;1
p1.3.f;10.0;32;3;40.0;0.034;2
p1.3.g;11.7;32;3;50.0;0.1377;3
p1.3.h;13.3;32;3;60.0;0.3635;3
p1.3.i;15.3;32;3;85.0;0.9125;4
p1.3.j;16.7;32;3;100.0;0.8975;7
p1.3.k;18.3;32;3;125.0;1.2571;6
p1.3.l;20.0;32;3;145.0;1.6852;7
p1.3.m;21.7;32;3;165.0;2.6764;8
p1.3.n;23.3;32;3;175.0;3.2609;7
p1.3.o;24.3;32;3;190.0;4.9657;9
p1.3.p;25.0;32;3;190.0;4.5713;7
p1.3.q;26.7;32;3;205.0;8.9181;4
p1.3.r;28.3;32;3;220.0;8.6292;5
p1.4.a;1.2;32;4;0.0;0.001;0
p1.4.b;2.5;32;4;0.0;0.001;0
p1.4.c;3.8;32;4;0.0;0.0;0
p1.4.d;5.0;32;4;15.0;0.0;1
p1.4.e;6.2;32;4;15.0;0.0011;1
p1.4.f;7.5;32;4;25.0;0.002;1
p1.4.g;8.8;32;4;35.0;0.008;1
p1.4.h;10.0;32;4;45.0;0.019;1
p1.4.i;11.5;32;4;60.0;0.0509;3
p1.4.j;12.5;32;4;70.0;0.1376;4
p1.4.k;13.8;32;4;90.0;0.2403;3
p1.4.l;15.0;32;4;110.0;0.408;4
p1.4.m;16.2;32;4;120.0;1.4908;7
p1.4.n;17.5;32;4;135.0;1.7259;7
p1.4.o;18.2;32;4;145.0;1.3002;5
p1.4.p;18.8;32;4;160.0;1.3786;7
p1.4.q;20.0;32;4;170.0;1.7342;7
p1.4.r;21.2;32;4;195.0;2.5229;8
